  1 2016-10-18 22:21:30.390782      0.0.0.0 -> 255.255.255.255 DHCP 342 DHCP Discover - Transaction ID 0x8508574f
  2 2016-10-18 22:21:33.485285      0.0.0.0 -> 255.255.255.255 DHCP 342 DHCP Discover - Transaction ID 0x8508574f
114 2016-10-18 22:21:38.803145     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=65198 Win=159744 Len=0 TSval=121975495 TSecr=121975466
115 2016-10-18 22:21:38.804329     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=65198 Ack=1 Win=29696 Len=1448 TSval=121975466 TSecr=121975446
116 2016-10-18 22:21:38.804383     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=66646 Win=162304 Len=0 TSval=121975496 TSecr=121975466
117 2016-10-18 22:21:38.805510     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=66646 Ack=1 Win=29696 Len=1448 TSval=121975467 TSecr=121975447
118 2016-10-18 22:21:38.805548     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=68094 Win=165376 Len=0 TSval=121975497 TSecr=121975467
119 2016-10-18 22:21:38.806776     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=68094 Ack=1 Win=29696 Len=1448 TSval=121975467 TSecr=121975447
120 2016-10-18 22:21:38.806853     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=69542 Win=168448 Len=0 TSval=121975499 TSecr=121975467
121 2016-10-18 22:21:38.808133     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=69542 Ack=1 Win=29696 Len=1448 TSval=121975468 TSecr=121975448
122 2016-10-18 22:21:38.808186     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=70990 Win=171008 Len=0 TSval=121975500 TSecr=121975468
123 2016-10-18 22:21:38.809081     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=70990 Ack=1 Win=29696 Len=1448 TSval=121975468 TSecr=121975448
124 2016-10-18 22:21:38.809134     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=72438 Win=174080 Len=0 TSval=121975501 TSecr=121975468
125 2016-10-18 22:21:38.810472     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=72438 Ack=1 Win=29696 Len=1448 TSval=121975470 TSecr=121975449
126 2016-10-18 22:21:38.810516     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=73886 Win=177152 Len=0 TSval=121975502 TSecr=121975470
127 2016-10-18 22:21:38.811510     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=73886 Ack=1 Win=29696 Len=1448 TSval=121975470 TSecr=121975449
128 2016-10-18 22:21:38.811547     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=75334 Win=179712 Len=0 TSval=121975503 TSecr=121975470
129 2016-10-18 22:21:38.812726     10.0.0.1 -> 10.0.0.4     TCP 1514 38324 > targus-getdata1 [ACK] Seq=75334 Ack=1 Win=29696 Len=1448 TSval=121975471 TSecr=121975451
130 2016-10-18 22:21:38.812764     10.0.0.4 -> 10.0.0.1     TCP 66 targus-getdata1 > 38324 [ACK] Seq=1 Ack=76782 Win=182784 Len=0 TSval=121975505 TSecr=121975471
