S1-time		S2-time			IAT-S2			Delay-S2		S1-chksum				S2-chksum
10:55:06.341   10:55:06.363   0:00:00.001000                     0:00:00.022000           ['tcp_csum:e39e']               ['tcp_csum:3689']
10:55:06.342   10:55:06.364   0:00:00.001000                     0:00:00.022000           ['tcp_csum:3689']               ['tcp_csum:16a0']
10:55:06.342   10:55:06.365   0:00:00.001000                     0:00:00.023000           ['tcp_csum:16a0']               ['tcp_csum:be30']
10:55:06.344   10:55:06.366   0:00:00.001000                     0:00:00.022000           ['tcp_csum:be30']               ['tcp_csum:626d']
10:55:06.345   10:55:06.367   0:00:00.001000                     0:00:00.022000           ['tcp_csum:626d']               ['tcp_csum:d417']
10:55:06.346   10:55:06.368   0:00:00.001000                     0:00:00.022000           ['tcp_csum:d417']               ['tcp_csum:e64f']
10:55:06.347   10:55:06.370   0:00:00.002000                     0:00:00.023000           ['tcp_csum:e64f']               ['tcp_csum:eab8']
10:55:06.349   10:55:06.371   0:00:00.001000                     0:00:00.022000           ['tcp_csum:eab8']               ['tcp_csum:cd73']
10:55:06.349   10:55:06.374   0:00:00.003000                     0:00:00.025000           ['tcp_csum:cd73']               ['tcp_csum:73a7']
10:55:06.351   10:55:06.374   0:00:00                            0:00:00.023000           ['tcp_csum:73a7']               ['tcp_csum:5f1b']
10:55:06.351   10:55:06.376   0:00:00.002000                     0:00:00.025000           ['tcp_csum:5f1b']               ['tcp_csum:ee7b']
10:55:06.356   10:55:06.376   0:00:00                            0:00:00.020000           ['tcp_csum:ee7b']               ['tcp_csum:2817']
10:55:06.356   10:55:06.377   0:00:00.001000                     0:00:00.021000           ['tcp_csum:2817']               ['tcp_csum:a758']
10:55:06.357   10:55:06.378   0:00:00.001000                     0:00:00.021000           ['tcp_csum:a758']               ['tcp_csum:d8cd']
10:55:06.358   10:55:06.379   0:00:00.001000                     0:00:00.021000           ['tcp_csum:d8cd']               ['tcp_csum:169a']
10:55:06.359   10:55:06.380   0:00:00.001000                     0:00:00.021000           ['tcp_csum:169a']               ['tcp_csum:dc14']
10:55:06.359   10:55:06.382   0:00:00.002000                     0:00:00.023000           ['tcp_csum:dc14']               ['tcp_csum:b153']
10:55:06.362   10:55:06.383   0:00:00.001000                     0:00:00.021000           ['tcp_csum:b153']               ['tcp_csum:25d2']
10:55:06.362   10:55:06.384   0:00:00.001000                     0:00:00.022000           ['tcp_csum:25d2']               ['tcp_csum:6ed5']
10:55:06.364   10:55:06.385   0:00:00.001000                     0:00:00.021000           ['tcp_csum:6ed5']               ['tcp_csum:4943']
10:55:06.364   10:55:06.389   0:00:00.004000                     0:00:00.025000           ['tcp_csum:4943']               ['tcp_csum:ea46']
10:55:06.366   10:55:06.390   0:00:00.001000                     0:00:00.024000           ['tcp_csum:ea46']               ['tcp_csum:eb8b']
10:55:06.366   10:55:06.390   0:00:00                            0:00:00.024000           ['tcp_csum:eb8b']               ['tcp_csum:942f']
